product_name,category,price,brand,description
Colgate MaxFresh Toothpaste 150g,General Store,95,Colgate,Colgate MaxFresh toothpaste 150g. Blue gel with cooling crystals. Fights germs.
Pepsodent Germicheck 200g,General Store,85,Pepsodent,"Pepsodent Germicheck 200g toothpaste. Fights 10 germs, tartar protection."
Lifebuoy Total Antibacterial Soap,General Store,35,Lifebuoy,Lifebuoy Total 10 antibacterial soap 75g. 100% stronger germ protection.
Dove Beauty Bar 75g,General Store,58,Dove,Dove Beauty Bar 75g with moisturising cream. Gentler than regular soap.
Pantene Luscious Long Shampoo 400ml,General Store,299,Pantene,Pantene Pro-V Luscious Long shampoo 400ml. Strengthens hair from root to tip.
Head & Shoulders Anti-Dandruff 340ml,General Store,349,Head & Shoulders,"Head and Shoulders Anti-Dandruff shampoo 340ml. 7 benefits, proven formula."
Parachute Coconut Oil 500ml,General Store,145,Parachute,Parachute 100% pure coconut oil 500ml. For hair care and cooking.
Himalaya Neem Face Wash 150ml,General Store,145,Himalaya,"Himalaya Purifying Neem Face Wash 150ml. Controls acne, balances skin pH."
Vaseline Intensive Care Lotion 400ml,General Store,195,Vaseline,Vaseline Intensive Care body lotion 400ml. Heals and moisturises dry skin.
Brooke Bond Red Label Tea 500g,General Store,215,Brooke Bond,Brooke Bond Red Label CTC tea 500g. Kadak flavour with antioxidants.
Tata Tea Gold 500g,General Store,245,Tata Tea,Tata Tea Gold blended leaf and dust tea 500g. Superior Assam Darjeeling blend.
Nescafe Classic Coffee 100g,General Store,299,Nescafe,"Nescafe Classic instant coffee 100g. 100% pure coffee, rich dark roast flavour."
Bru Gold Instant Coffee 100g,General Store,265,Bru,Bru Gold instant coffee 100g. Perfect blend of coffee and chicory.
Maggi Masala Noodles Pack of 12,General Store,132,Maggi,Maggi 2-Minute Masala Noodles 12-pack of 70g each. Quick and easy meal.
Parle-G Glucose Biscuits 800g,General Store,60,Parle,Parle-G original glucose biscuits 800g. Made with whole wheat and vitamins.
Britannia Good Day Cashew 120g,General Store,25,Britannia,Britannia Good Day cashew biscuits 120g. Rich buttery flavour with cashew pieces.
Amul Butter 500g,General Store,270,Amul,Amul pasteurised butter 500g. Made from fresh cream. For cooking and baking.
Lizol Citrus Floor Cleaner 2L,General Store,285,Lizol,"Lizol Citrus floor cleaner 2L. Kills 99.9% germs. Works on marble, tiles."
Colin Glass Cleaner 500ml,General Store,115,Colin,Colin glass and surface cleaner spray 500ml. Streak-free finish on glass.
HIT Mosquito Killer Spray 200ml,General Store,125,HIT,HIT Flying Insect Killer spray 200ml. Kills mosquitoes and flies on contact.
Good Knight Fast Card 10pc,General Store,50,Good Knight,Good Knight Fast Card mosquito repellent 10 cards. No electricity needed.
Dettol Original Antiseptic 100ml,General Store,80,Dettol,Dettol Original antiseptic liquid 100ml. Kills germs for cuts and infections.
Savlon Antiseptic Cream 60g,General Store,75,Savlon,"Savlon Antiseptic Cream 60g. Prevents infection in cuts, burns, abrasions."
Dettol Handwash Pump 250ml,General Store,95,Dettol,Dettol Original antibacterial handwash pump 250ml. 10x more effective.
Pril Lemon Dishwash Gel 750ml,General Store,99,Pril,Pril Lemon and Lime dishwash gel 750ml. Cuts grease in cold water.
Vim Dish Wash Bar 200g Pack of 2,General Store,38,Vim,"Vim dish wash bar 200g pack of 2. Removes oil, grease, odour from utensils."
Scotch-Brite Scrub Pad 3pc,General Store,55,3M,Scotch-Brite Heavy Duty scrub sponge 3-piece pack. Green side for tough cleaning.
Tata Sampann Turmeric Powder 200g,General Store,70,Tata Sampann,"Tata Sampann unpolished turmeric powder 200g. Rich in curcumin, pure and natural."
Everest Garam Masala 100g,General Store,85,Everest,Everest Garam Masala 100g. Blend of 14 premium spices for authentic Indian cooking.
Disprin Regular 350mg 10 Tablets,General Store,20,Disprin,"Disprin aspirin 350mg 10-tablet strip. For headache, fever, body ache relief."
Electral ORS Sachet 21g,General Store,15,Electral,"Electral ORS sachet 21g. Glucose, sodium, potassium replenishment for dehydration."
